pageid,title,wikidata,label
5906722,Minni Minnawi,Q1937445,Minni Minnawi
45711380,Gibril Ibrahim,Q20635399,Gibril Ibrahim
49027602,Abdul-Hamid Musa Kasha,Q22948908,Abdul-Hamid Musa Kasha
60480545,Abdel Fattah al-Burhan,Q63111184,Abdel Fattah al-Burhan
61703427,Intisar el-Zein Soughayroun,Q67162677,Intisar el-Zein Soghayroun
62639173,Nasreldin Abdelbari,Q80189081,Nasreldin Abdelbari
64429254,Kuol Deim Kuol,Q96760058,Kuol Deim Kuol
67543604,Mariam al-Mahdi,Q92098489,Mariam Sadiq al-Mahdi
68029610,Taysir El Nourani,Q105943401,Tayseer Alnorani
70115539,Osman Hussein (politician),Q110629734,Osman Hussein Osman
