id,name,relationship,relative,relativename
Q104687952,Abuk Payiti Ayik,spouse,Q11995405,Peter Adwok Nyaba
Q11995405,Peter Adwok Nyaba,spouse,Q104687952,Abuk Payiti Ayik
Q167444,John Garang,child,Q61993413,Akuol de Mabior
Q167444,John Garang,spouse,Q3379134,Rebecca Nyandeng De Mabior
Q20635399,Gibril Ibrahim,sibling,Q943027,Khalil Ibrahim
Q366385,Dominic Dim Deng,spouse,Q6288308,Josephine Apieu Jenaro Aken
Q444994,Riek Machar,spouse,Q4762750,Angelina Teny
Q57315,Salva Kiir Mayardit,spouse,Q64895993,Mary Ayen Mayardit
Q92098489,Mariam Sadiq al-Mahdi,father,Q387953,Sadiq al-Mahdi
