position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Omar al-Bashir,Q57265,1989-06-30,2019-04-11,male,1944-01-01,,"Omar al-Bashir, 12th AU Summit, 090202-N-0506A-137 cropped.jpg",Omar al-Bashir
Vice President,George Kongor Arop,Q23540905,1994-02,2000-10,male,1951,,,George Kongor Arop
Vice President,John Garang,Q167444,2005-07-09,2005-07-30,male,1945-06-23,2005-07-30,John Garang of Sudan.jpg,John Garang
Vice President,Salva Kiir Mayardit,Q57315,2005-08-11,2011-07-09,male,1951-09-13,,Salva Kiir Mayardit.jpg,Salva Kiir Mayardit
Chairman of the Transitional Military Council,Ahmed Awad Ibn Auf,Q22949078,2019-04-11,2019-04-12,male,1956,,,Ahmed Awad Ibn Auf
Chairman of the Transitional Military Council,Abdel Fattah al-Burhan,Q63111184,2019-04-12,2019-08-21,male,1960-07-11,,Chairman of the Sovereignty Council of Sudan Abdel Fattah Abdelrahman Burhan in October 2019 (cropped).jpg,Abdel Fattah al-Burhan
Prime Minister,Bakri Hassan Saleh,Q15700032,2017-03-02,2018-09-10,male,1949,,,Bakri Hassan Saleh
Prime Minister,Motazz Moussa,Q56556415,2018-09-10,2019-02-23,male,1967,,"Mutaz Musa Abdulla meeting the Union Minister for Micro, Small and Medium Enterprises, Shri Kalraj Mishra cropped.jpg",Motazz Moussa
Prime Minister,Mohamed Tahir Ayala,Q48728938,2019-02-23,2019-04-11,male,1950,,محمد طاهر ايلا.jpg,Mohamed Tahir Ayala
Prime Minister,Abdalla Hamdok,Q27654948,2019-08-21,2021-10-25,male,1956,,Mark Green and Abdalla Hamdok at USAID HQ (2) (cropped).jpg,Abdalla Hamdok
Prime Minister,Abdalla Hamdok,Q27654948,2021-11-21,2022-01-02,male,1956,,Mark Green and Abdalla Hamdok at USAID HQ (2) (cropped).jpg,Abdalla Hamdok
Minister of Finance and Economy,Ibrahim Elbadawi,Q96632057,2019-09-08,2020-07-09,male,1954,,,
Minister of Science and Technology,Ibrahim Ahmed Omer,Q111184176,2007,2010,male,1939-12-19,,A I omer.jpg,
Speaker of the National Assembly,Ibrahim Ahmed Omer,Q111184176,2015,2019,male,1939-12-19,,A I omer.jpg,
ambassador to Ireland,Abdullah Hamad Al-Azraq,Q91937793,2016,,male,1955-01-01,,,
ambassador to the United Kingdom,Hasan Abdin,Q91933442,2000,2006,male,1939-01-01,,,
ambassador to the United Kingdom,Mohammed Abdalla Ali Eltom,Q96912040,2014,,male,1963-11-10,,,
