raw,position
Ambassador To The Us,
Assistant President Chmn. Bureau Of Federal Rule,
Assistant To The President,
Attorney General,
"Charge D'affaires, Embassy, Washington",
"Charge D'affaires, Washington, Dc",
Chmn. Bureau Of Federal Rule,
First Vice President,
"Governor, Bank Of Sudan",
"Governor, Central Bank Of Sudan",
"Head, Federal Bureau For Decentralization",
Min. At Decentralization Bureau,
Min. At The Cabinet,
Min. For Presidential Affairs,
Min. Of Agriculture,Q112325266
Min. Of Agriculture & Forestry,Q112325266
Min. Of Agriculture & Forests,Q112325266
Min. Of Agriculture & Irrigation,Q112325266
Min. Of Animal & Fish Resources,Q112325270
Min. Of Animal Resources,Q112325270
Min. Of Animal Resources & Fisheries,
"Min. Of Antiquities, Tourism & Wildlife",
Min. Of Aviation,
Min. Of Cabinet Affairs,
Min. Of Civil Aviation,
Min. Of Commerce,
Min. Of Communication & Information Technology,
Min. Of Communications,
Min. Of Communications & Roads,
Min. Of Council Of Ministers,
Min. Of Culture,
Min. Of Culture & Information,
"Min. Of Culture, Youth & Sport",
Min. Of Defense,
Min. Of Defense (Acting),
Min. Of Education,
Min. Of Electricity,
Min. Of Electricity & Dams,
Min. Of Energy & Mining,
Min. Of Environment & Urban Development,
Min. Of Environment & Urban Planning,
"Min. Of Environment, Forestry & Urban Development",
"Min. Of Environment, Natural Resources & Urban Development",
Min. Of External Relations,
Min. Of External Trade,
Min. Of Federal Governance,
Min. Of Federal Government,
Min. Of Federal Govt.,
Min. Of Federal Relations,
Min. Of Federal Rule,
Min. Of Finance & Economic Planning,
Min. Of Finance & National Economy,
Min. Of Finance & Planning,
Min. Of Foreign Affairs,
Min. Of Foreign Trade,
Min. Of General Education,
Min. Of Guidance & Endowments,
Min. Of Guidance & Religious Endowments,
Min. Of Guidance & Waqfs,
Min. Of Health,
Min. Of Higher Education,
Min. Of Higher Education & Scientific Research,
Min. Of Human Resources,
Min. Of Human Resources Development,
"Min. Of Human Resources, Development & Labor",
Min. Of Humanitarian Affairs,
Min. Of Industry,
Min. Of Industry & Investment,
Min. Of Information,
Min. Of Information & Communication,
Min. Of Information & Culture,
Min. Of Interior,
Min. Of International Cooperation,
Min. Of International Cooperation & Investment,
Min. Of Intl. Cooperation,
Min. Of Investment,
Min. Of Irrigation,
Min. Of Irrigation & Water Resources,
Min. Of Justice,
Min. Of Justice & Prosecutor Gen.,
Min. Of Justice & Prosecutor General,
Min. Of Labor,
Min. Of Labor & Human Resources,
Min. Of Legal Affairs,
Min. Of Manpower,
Min. Of Minerals,
Min. Of Parliamentary Affairs,
Min. Of Parliamentary Relations,
Min. Of Petroleum,
Min. Of Petroleum & Gas,
Min. Of Presidential Affairs,
Min. Of Religious Affairs,
Min. Of Religious Affairs & Waqf,
Min. Of Religious Endowment,
Min. Of Religious Guidance & Endowment,
Min. Of Roads,
Min. Of Roads & Bridges,
Min. Of Science & Communications,
Min. Of Science & Technology,
Min. Of Social Planning,
Min. Of Sports & Youth,
Min. Of Survey,
Min. Of The Presidency,
Min. Of Tourism,
Min. Of Tourism & Culture,
Min. Of Tourism & Environment,
Min. Of Tourism & National Heritage,
Min. Of Trade,
Min. Of Transportation,
"Min. Of Transportation, Roads & Bridges",
Min. Of Water Resources,
Min. Of Water Resources & Electricity,
"Min. Of Water Resources, Irrigation & Electricity",
Min. Of Welfare & Social Insurance,
Min. Of Welfare & Social Planning,
Min. Of Welfare & Social Security,
Min. Of Youth & Sport,
Min. Of Youth & Sports,
"Permanent Representative To The Un, New York",
Political Adviser To The President,
President,Q14948193
Presidential Adviser For African Affairs,
Presidential Adviser For Peace Affairs,
Presidential Adviser For Political Affairs,
Presidential Adviser For Religious Affairs,
Presidential Councilor For Peace Affairs,
Religious Adviser To The President,
Sec. Of The Higher Council For Peace,
Second Vice President,
Security Adviser To The President,
Senior Asst. To The President,
State Min. Of Agriculture,
State Min. Of Cabinet Affairs,
State Min. Of Civil Aviation,
State Min. Of Culture & Tourism,
State Min. Of Defense,
State Min. Of Education,
State Min. Of External Relations,
State Min. Of Federal Rule,
State Min. Of Finance,
State Min. Of Health,
State Min. Of Industry,
State Min. Of Information,
State Min. Of Internal Affairs,
State Min. Of International Cooperation,
State Min. Of Irrigation,
State Min. Of Justice,
State Min. Of Science & Technology,
State Min. Of Transport,
State Min. Of Youth & Sports,
Vice President,Q7925069
