no,itemLabel,title,partyLabel,areaLabel
1,Atem Garang D. Dekuek,D/Speaker,SPLM,Jonglei
2,Thomas Wani Kundu,Chairperson,SPLM,Central Eq.
3,Lidia Jok Chol,Chairperson,SPLM,Upper Nile
4,Goc Makuac Mayol,Chairperson,SPLM,Warrap
5,Ramadan Hassen Laku,Chairperson,SPLM,Central Eq.
6,Deng Tong Kuol,Chairperson,SPLM,Northern B.G.
7,John Gatnyai Thot,D/Chairperson,SPLM,Unity
8,Ketura Yona Ambara,D/Chairperson,SPLM,Western Eq.
9,Adelino Michael Wani,D/Chairperson,SPLM,Eastern Eq.
10,George Andrea Juma,D/Chairperson,SPLM,Western B.G.
11,Tut Kew Gatluak,D/Chairperson,NCP,Unity
12,Riek Gai Kok,Pres. Advisor,NCP,Jonglei
13,George Bureng Nyombe,Minister,SPLM,Central Eq.
14,Lual Achuek Deng,Minister,SPLM,Jonglei
15,Wek Mamer Kuol,State Minister,SPLM,Warrap
16,Rashid Adam Alallah,Member,SPLM,Western B.G.
17,Siro Garjuok Marino,Member,SPLM,Western B.G.
18,Nadia Mahajuob Babiker,Member,SPLM,Western B.G.
19,Jongkuc Johnson Kulang,Member,SPLM,Lakes
20,Bullen Kot Beny Adiak,Member,SPLM,Lakes
21,Alambeny Malith Riak,Member,SPLM,Lakes
22,Daniel Dhieu Matuet,Member,SPLM,Lakes
23,Jamal Juma Kakaya,Member,SPLM,Lakes
24,Rebecca Aluel Mayor,Member,SPLM,Lakes
25,Suzan Solomon Mamur,Member,SPLM,Lakes
26,Remzi Monyping Cier,Member,SPLM,Lakes
27,Caguor Aduong Manyang,Member,SPLM,Warrap
28,Wol Deng Aleu,Member,SPLM,Warrap
29,Rose Adau Deng,Member,SPLM,Warrap
30,Alma Jervas Yak,Member,SPLM,Warrap
31,Joseph Mathuc Mou,Member,SPLM,Warrap
32,Bona Bak Nyang,Member,SPLM,Warrap
33,Augustino Mathok Thok,Member,SPLM,Warrap
34,Ayak Ngor Malek,Member,SPLM,Warrap
35,William Ajel Deng Gai,Member,SPLM,Northern B.G.
36,Ajok Wol Atak Deng,Member,SPLM,Northern B.G.
37,Abraham Albino Kuot,Member,SPLM,Northern B.G.
38,James Aguer Alij,Member,SPLM,Northern B.G.
39,John Agany Deng,Member,SPLM,Northern B.G.
40,Akuot Chan Kuac,Member,SPLM,Northern B.G.
41,Akuar Gamar Ujieth,Member,SPLM,Northern B.G.
42,Salih Saeed Uko,Member,SPLM,Northern B.G.
43,Veronica Luis Renzi,Member,SPLM,Western Eq.
44,Samson Ezekiel Ndiko,Member,SPLM,Western Eq.
45,Justin Joseph Marona,Member,SPLM,Western Eq.
46,Pasquale Clement Batali,Member,SPLM,Western Eq.
47,Murad Meseka Dourania,Member,SPLM,Western Eq.
48,Jamal Lomongin Peter,Member,SPLM,Eastern Eq.
49,Paul Lotabu Mana,Member,SPLM,Eastern Eq.
50,Luis Wille Atiol,Member,SPLM,Eastern Eq.
51,Marko Lolibas Lojore,Member,SPLM,Eastern Eq.
52,Veronica Rodento Onzi,Member,SPLM,Eastern Eq.
53,Anita Allah-jabu Mursal,Member,SPLM,Eastern Eq.
54,Justin Erat Kerepi,Member,SPLM,Eastern Eq.
55,Natire Ann Grace,Member,SPLM,Eastern Eq.
56,Mathias Loye Obura,Member,SPLM,Eastern Eq.
57,Mary Nyiyom Lual,Member,SPLM,Central Eq.
58,Anthony Kudus Justin,Member,SPLM,Central Eq.
59,Joseph Dilli Lupara,Member,SPLM,Central Eq.
60,David Allemy Poru,Member,SPLM,Central Eq.
61,Paul Yoane Bonju,Member,SPLM,Central Eq.
62,Agnes Nyoka Peter,Member,SPLM,Central Eq.
63,James Angelo Celerino,Member,SPLM,Central Eq.
64,Oliver Mori Benjamin,Member,SPLM,Central Eq.
65,Lazarous Permena Farajalla,Member,SPLM,Central Eq.
66,Lilly Kiden Eluzaya,Member,SPLM,Central Eq.
67,Maker Thiong Maal,Member,SPLM,Jonglei
68,Jacob Duang Wan,Member,SPLM,Jonglei
69,Kuol Lual Awan,Member,SPLM,Jonglei
70,Eloren Allen Kulem,Member,SPLM,Jonglei
71,Elizabeth John Kuol,Member,SPLM,Jonglei
72,Munira Abdalwahab,Member,SPLM,Jonglei
73,John Badeng Chan,Member,SPLM,Jonglei
74,Imelda Modi Tartisio,Member,SPLM,Jonglei
75,David Thil Chol,Member,SPLM,Jonglei
76,Michael Chot Lul,Member,SPLM,Jonglei
77,Ann Lino Wor Abyei,Member,SPLM,Jonglei
78,Jok Jak Bom,Member,SPLM,Upper Nile
79,Elia Ullan Jongo Wako,Member,SPLM,Upper Nile
80,Ali Adillan Nur-aldin,Member,SPLM,Upper Nile
81,Asha Abdalsalam Alawad,Member,SPLM,Upper Nile
82,Cecilia Achuil Mathew,Member,SPLM,Upper Nile
83,Deng Chol Deng,Member,SPLM,Upper Nile
84,Deng Goch Ayuel,Member,SPLM,Upper Nile
85,Fatima Kur Chol,Member,SPLM,Upper Nile
86,Bur Gatwich Kuny,Member,SPLM,Upper Nile
87,Lang Tap Lam,Member,SPLM,Unity
88,Puok Bol Mut,Member,SPLM,Unity
89,Mary Yual Badeng,Member,SPLM,Unity
90,Nadia Arop Dudi,Member,SPLM,Unity
91,Majok Dau Chol Lak,Member,SPLM,Unity
92,Michael Rut Koryom,Member,NCP,Jonglei
93,Benjamin Bol,Member,SPLM-DC,Upper Nile
94,Johnson Ollami,Member,SPLM-DC,Upper Nile
95,Mayiik Ayii Deng,Member,SPLM,Warrap
