item,itemLabel,startDate,endDate
,Abd ar-Rahman Abu Madyan,1997-12,2000-01
,Al-Hadi Bashra,2000-01,2001-02
,Hassan Hamadayn Suleiman,2001-02,2003
,Abdallah Uthman al-Haj,2003,2004
,Hassan Hamadayn Suleiman,2004,2005
,Abdel Rahman Mohamed Abu Madien,2005-09,2007-07
Q6743558,Malik Agar,2007-07,2011-09-20
,Yahya Mohamed Khair,2011-09,2013-04
,Hussein Yassin Hamad,2013-04-01,2018-05
,Khalid Hussein Mohamed Omer,2018-05-14,2019-02
,Yahya Mohamed Khair,2019-02-24,2019-04
,Ahmed Abdul-Rahim Shukratall,2019-04,2020
,Abdul Rahman Mohammed Nour al-Daiem,2020-07-22,2020-12-27
,Jamal Abdel Hadi,2020-12,2021-06-13
,Ahmed al-Omda,2021-06-13,
