item,itemLabel,startDate,endDate,sourceDate,psid
Q23540905,George Kongor Arop,1995-08-12,2000-10-14,,Q23540905-E8A9940F-209D-4868-8A31-46C222B14003
Q937264,Ali Osman Taha,1998-02,2005-01-09,2022-06-10,Q937264-E7A820EC-2D48-4D34-B6E4-F1838C3E95B6
Q23541055,Moses Kacoul Machar,2001-02-23,2005-07-09,2022-06-10,Q23541055-49A72172-6980-4434-88E3-E0CA396A1363
Q167444,John Garang,2005-07-09,2005-07-30,,Q167444-89960418-09C2-404C-9883-705CB7581F5A
Q937264,Ali Osman Taha,2005-07-09,2011-09-13,2022-06-10,Q937264-243A9344-F574-4DD2-AF24-5000C3ED1C15
Q57315,Salva Kiir Mayardit,2005-08-11,2011-07-09,,Q57315-3A6D6A7E-9F7D-4355-AC7C-B816CEC32FB5
Q19605286,Alhaj Adam Yousef,2011-09-13,2013-12-07,2022-06-10,Q19605286-20348AAF-D566-4C55-9390-918C4F0167C4
Q937264,Ali Osman Taha,2011-09-13,2013-12-06,2022-06-10,Q937264-47E17F14-DB61-48CB-8A43-74699ACAD309
Q15700032,Bakri Hassan Saleh,2013-12-07,2019-02-23,2022-06-10,Q15700032-06D9F8A9-73FC-4D88-9E55-77165FE4A48D
Q16127041,Hassabu Mohamed Abdalrahman,2013-12-07,2018-09-10,2022-06-10,Q16127041-9CA7B833-5E4A-4D0B-9B50-F3844882172A
Q15700032,Bakri Hassan Saleh,2013-12-08,2017-03-01,,Q15700032-8C04A3A8-0E8C-4BF1-A9D1-2F01219163C9
Q2161477,Osman Kebir,2018-09-10,2019-04-11,2022-06-10,Q2161477-176A0617-129B-4C6A-BC45-9093696D9004
Q22949078,Ahmed Awad Ibn Auf,2019-02-23,2019-04-11,2022-06-10,Q22949078-122B4A5D-77F0-49FD-BFB9-881779A51951
Q112315951,Kamal Abdel-Marouf al-Mahi,2019-04-11,2019-04-13,,Q112315951-65E7639B-879E-47C9-9FB7-805BCC66E8D4
Q63145660,Mohamed Hamdan Dagalo,2019-04-13,2019-08-21,2022-06-10,Q63145660-BC988DC1-04B7-45C1-983D-5C2C464E2B30
Q63145660,Mohamed Hamdan Dagalo,2019-08-21,2021-10-24,2022-06-10,Q63145660-54379309-A3D0-4C39-9F03-720164230F9B
