item,itemLabel,position,positionLabel,start,psid
Q105943401,Tayseer Alnorani,Q112325298,Minister of Labour,2021-02-09,Q105943401-5CC75FFA-22F9-4BFE-82A0-9F668522015E
Q110629734,Osman Hussein Osman,Q30100623,Prime Minister of Sudan,2022-01-19,Q110629734-20EB8039-CE6A-4405-81DA-170728F774AD
Q112674332,Jamal Abdelmajeed,Q112674303,Head of the National Intelligence and Security Service,2020-01-16,Q112674332-0726FAAE-8427-480F-AE17-5FFEDDAB8D0F
Q112674336,Taher Harbi,Q112325266,Minister of Agriculture,2021-02-09,Q112674336-2DB6A15B-2788-4B62-AC0B-A829FAFD4BD1
Q112674338,Khaled Omar,Q112325274,Minister of Cabinet Affairs,2021-02-09,Q112674338-000B5F32-68A1-4846-9BCA-66B97A9548F9
Q112674339,Hashem Hasabelrasoul,Q112325275,Minister of Communications and Information Technology,2021-02-09,Q112674339-6228D9AF-E87F-49FB-8B48-37B31C6E3EE5
Q112674340,Hamza Baloul,Q112325276,Minister of Culture,2021-02-09,Q112674340-DF8C5E66-BECB-4885-803A-BB195E7B4923
Q112674342,Mohammed el-Amin el-Tom,Q112325279,Minister of Education,2019-09-08,Q112674342-AE765C6D-0B80-4DD2-ADE5-1865D604FB41
Q112674345,Jaden Ali,Q112325281,Minister of Energy and Mining,2021-02-09,Q112674345-09533BA6-4891-4120-98C7-45B7917E97EC
Q112674347,Buthaina Dinar,Q112325284,Minister of Federal Government,2021-02-09,Q112674347-9C80FDED-A93D-4BA7-A66F-703309529E08
Q112674351,Omar El Najeeb,Q112325286,Minister of Health of Sudan,2021-02-09,Q112674351-88929A9A-5D8D-4178-8C07-0B0B6F511C49
Q112674353,Ibrahim El Sheikh,Q112325290,Minister of Industry,2021-02-09,Q112674353-D2FD8975-CA9E-46D3-AE9A-1FC7A9588124
Q112674356,Mirghani Mousa,Q112325317,Minister of Transport,2021-02-09,Q112674356-3FDC9F81-25A0-4FE9-B1E5-8D0F4C8CAA96
Q112674358,Ezzeldin El Sheikh,Q112325292,Minister of Interior,2021-02-09,Q112674358-5DDB0EB9-9ACB-45EA-9897-A6D0992828FD
Q112674359,Mohamed Ibrahim,Q112325294,Minister of Investment,2021-02-09,Q112674359-9C68A087-39FE-4F65-8640-9A4A8D98DE0A
Q112674360,Yasser Abbas Mohamed Ali,Q112325296,Minister of Irrigation and Water Resources,2019-09-08,Q112674360-FAFC6F65-74C8-461A-B855-9D3B42942805
Q112674363,Hafez Nabi,Q112674296,Minister of Livestock and Fisheries,2021-02-09,Q112674363-0D476A8E-8E4F-4531-BE07-8138DC2D2C06
Q112674364,Mohamed Abunumou,Q112325301,Minister of Mining,2021-02-09,Q112674364-AC8C8FC2-406E-484C-BC04-BD88805F0F30
Q112674365,Nasr al-Din Mufreh,Q112325308,Minister of Religious Affairs,2019-09-08,Q112674365-5AF57A01-147B-4206-A8AA-DA8D2FBAB895
Q112674366,Mutasim Ahmed Saleh,Q112325311,Minister of Social Welfare,2021-02-09,Q112674366-14EFF302-4F3A-4644-A345-33E11F490D48
Q112674367,Ali Jido,Q112325315,Minister of Trade,2021-02-09,Q112674367-99732738-A930-4A64-96BF-436CB92D88D3
Q112674368,Yousef El Dai,Q112325322,Minister of Youth and Sports,2021-02-09,Q112674368-1A5C9188-EB0E-402C-945C-655709BE7AFD
Q112797483,Omer Gamar Eldin Ismail,Q112792739,Minister of State for Foreign Trade,2020-01-21,Q112797483-38D30340-7F31-41C6-AB4B-5D73668DCCDA
Q112797485,Stephen Amin,Q112792672,Minister of State for Labour,2020-01-21,Q112797485-65359356-0234-4B92-B6CB-E4C136476E40
Q112797488,Hazim Diab,Q112797489,Minister of State for Infrastructure,2020-01-21,Q112797488-25719236-C953-4EF7-9FEC-39CC2109A5EF
Q20635399,Gibril Ibrahim,Q105926147,Minister of Finance and Economy,2021-02-09,Q20635399-BA8F943C-2A92-4BA7-AE91-947D48CB113E
Q67162677,Intisar el-Zein Soghayroun,Q111192544,Minister of Higher Education and Scientific Research,2019-09-08,Q67162677-ECD0BFC9-AC8A-466D-AAD3-49123E821804
Q80189081,Nasreldin Abdelbari,Q112325297,Minister of Justice,2019-09-09,Q80189081-74656B9F-3E75-42DF-829A-77C8B6A97C0C
Q92098489,Mariam Sadiq al-Mahdi,Q109984815,Minister of Foreign Affairs,2021-02-09,Q92098489-B8049A7E-FC84-4F48-853C-F7468526880C
Q96060568,Yassin Ibrahim Yassin,Q85851442,Minister of Defence,2020-06-02,Q96060568-41470932-7F44-4A3D-9571-121F78B6329A
